id,emp_min,pas_min,st_first_id,st_second_id
350,54,67,1,325
351,58,71,1,326
352,62,75,1,327
353,65,78,1,328
354,68,80,1,329
355,73,85,1,330
356,68,68,1,367
357,59,59,1,369
358,55,55,1,370
359,52,52,1,371
360,49,49,1,372
361,46,46,1,373
362,41,41,1,374
363,38,38,1,375
364,36,36,1,376
365,33,33,1,377
366,30,30,1,378
367,27,27,1,379
368,30,30,1,380
369,29,33,1,381
370,20,20,1,384
371,22,22,1,385
372,22,22,1,386
373,19,19,1,387
374,22,22,1,388
375,24,24,1,389
376,27,27,1,390
377,30,30,1,391
378,33,33,1,392
379,35,35,1,393
380,40,40,1,394
381,43,43,1,395
382,46,46,1,396
383,48,48,1,397
384,51,51,1,398
385,54,54,1,399
386,56,56,1,400
387,59,59,1,401
388,62,62,1,402
389,65,65,1,403
390,67,67,1,404
391,70,70,1,405
392,72,72,1,406
393,74,74,1,407
394,51,62,1,413
395,46,57,1,414
396,43,54,1,415
397,40,51,1,416
398,37,48,1,417
399,33,44,1,418
400,30,41,1,419
401,27,38,1,420
402,24,35,1,421
403,21,21,1,422
404,26,27,1,423
405,23,23,1,424
406,19,19,1,425
407,25,25,1,426
408,27,27,1,427
409,30,31,1,428
410,39,40,1,451
411,40,41,1,430
412,43,44,1,431
413,45,47,1,432
414,48,50,1,433
415,50,52,1,434
416,53,55,1,435
417,56,58,1,436
418,59,61,1,437
419,62,64,1,438
420,66,68,1,439
421,69,71,1,440
422,73,75,1,441
423,78,80,1,442
424,80,82,1,443
425,83,85,1,444
426,86,88,1,445
427,89,91,1,446
428,92,94,1,447
429,3,3,2,3
430,7,7,2,4
431,8,8,2,5
432,10,10,2,6
433,12,12,2,7
434,13,13,2,8
435,15,15,2,9
436,17,17,2,10
437,19,19,2,11
438,20,20,2,12
439,23,23,2,13
440,25,25,2,14
441,26,26,2,15
442,30,30,2,16
443,35,35,2,17
444,38,38,2,18
445,40,40,2,19
446,43,43,2,20
447,46,46,2,21
448,50,50,2,22
449,53,53,2,266
450,56,56,2,267
451,59,59,2,268
452,61,61,2,269
453,40,40,2,244
454,40,45,2,260
455,38,43,2,23
456,35,41,2,24
457,32,38,2,25
458,29,35,2,26
459,27,33,2,27
460,24,24,2,28
461,26,26,2,29
462,25,25,2,30
463,23,23,2,31
464,21,21,2,32
465,24,24,2,33
466,26,26,2,34
467,29,30,2,35
468,32,32,2,36
469,34,35,2,37
470,38,38,2,38
471,41,42,2,39
472,44,44,2,40
473,47,47,2,41
474,49,50,2,42
475,49,52,2,43
476,53,56,2,44
477,59,66,2,45
478,56,63,2,46
479,53,53,2,47
480,55,58,2,48
481,54,54,2,49
482,46,46,2,50
483,43,43,2,51
484,39,39,2,52
485,37,37,2,53
486,33,33,2,54
487,28,28,2,55
488,26,26,2,56
489,24,24,2,57
490,25,26,2,58
491,22,22,2,59
492,20,20,2,60
493,17,17,2,61
494,15,15,2,62
495,13,13,2,63
496,16,16,2,64
497,19,19,2,65
498,21,21,2,66
499,22,22,2,79
500,23,23,2,78
501,25,25,2,77
502,28,28,2,74
503,30,30,2,73
504,33,33,2,72
505,35,35,2,71
506,38,38,2,70
507,40,40,2,69
508,42,42,2,68
509,42,42,2,67
510,32,32,2,449
511,34,34,2,450
512,15,15,2,80
513,18,18,2,81
514,20,20,2,82
515,22,22,2,83
516,24,24,2,84
517,26,26,2,85
518,28,28,2,86
519,28,28,2,87
520,25,25,2,88
521,23,23,2,89
522,21,21,2,90
523,18,18,2,91
524,25,25,2,92
525,23,23,2,93
526,20,20,2,94
527,18,18,2,95
528,21,21,2,96
529,19,25,2,97
530,17,17,2,98
531,19,20,2,99
532,18,18,2,100
533,16,16,2,101
534,18,18,2,102
535,21,21,2,103
536,24,24,2,104
537,26,26,2,105
538,29,29,2,106
539,32,32,2,107
540,34,34,2,108
541,36,36,2,109
542,38,38,2,110
543,41,41,2,111
544,43,43,2,112
545,46,46,2,113
546,49,49,2,114
547,51,51,2,115
548,45,45,2,116
549,44,44,2,117
550,41,41,2,118
551,39,39,2,119
552,36,36,2,120
553,33,33,2,121
554,30,30,2,122
555,27,27,2,123
556,25,25,2,124
557,23,23,2,125
558,20,20,2,126
559,18,18,2,127
560,20,20,2,128
561,23,23,2,129
562,25,25,2,130
563,27,27,2,131
564,26,26,2,132
565,29,34,2,133
566,32,38,2,134
567,30,30,2,135
568,34,44,2,136
569,36,47,2,137
570,39,49,2,138
571,30,30,2,139
572,26,26,2,140
573,24,24,2,141
574,20,20,2,142
575,22,22,2,143
576,25,25,2,144
577,23,23,2,145
578,23,23,2,146
579,34,34,2,147
580,35,35,2,148
581,38,38,2,241
582,41,41,2,242
583,43,43,2,243
584,45,45,2,253
585,48,48,2,254
586,51,51,2,255
587,54,54,2,256
588,56,56,2,257
589,57,57,2,258
590,59,59,2,259
591,63,63,2,408
592,66,66,2,409
593,32,32,2,149
594,29,29,2,150
595,26,26,2,151
596,23,23,2,152
597,26,26,2,153
598,26,38,2,154
599,24,36,2,155
600,22,22,2,156
601,24,24,2,157
602,21,21,2,158
603,23,27,2,159
604,25,25,2,160
605,27,27,2,161
606,27,27,2,162
607,30,33,2,163
608,34,37,2,164
609,36,39,2,165
610,38,41,2,166
611,40,43,2,167
612,42,45,2,168
613,45,48,2,169
614,47,50,2,170
615,50,52,2,171
616,52,54,2,172
617,54,57,2,173
618,39,46,2,412
619,36,36,2,411
620,33,33,2,410
621,31,31,2,250
622,29,29,2,251
623,27,27,2,252
624,27,27,2,234
625,24,29,2,233
626,22,27,2,232
627,19,19,2,174
628,20,20,2,175
629,18,18,2,176
630,16,16,2,177
631,19,19,2,178
632,22,22,2,179
633,24,24,2,180
634,26,26,2,181
635,29,29,2,182
636,27,27,2,183
637,29,35,2,184
638,32,38,2,185
639,35,41,2,186
640,37,43,2,187
641,40,46,2,188
642,43,49,2,189
643,46,52,2,190
644,19,19,2,261
645,22,22,2,249
646,25,25,2,248
647,27,27,2,247
648,31,31,2,246
649,33,33,2,245
650,31,31,2,341
651,34,34,2,342
652,37,37,2,343
653,40,40,2,344
654,43,43,2,345
655,46,46,2,346
656,43,43,2,347
657,41,41,2,348
658,43,43,2,349
659,40,40,2,350
660,43,48,2,351
661,42,45,2,191
662,41,41,2,364
663,37,37,2,365
664,33,33,2,353
665,30,30,2,354
666,28,28,2,355
667,25,25,2,356
668,21,21,2,357
669,18,18,2,358
670,15,15,2,359
671,13,13,2,360
672,10,10,2,361
673,14,14,2,362
674,16,16,2,363
675,53,53,2,194
676,56,56,2,195
677,58,58,2,196
678,63,64,2,197
679,65,65,2,198
680,67,67,2,199
681,69,70,2,200
682,4,4,2,206
683,3,3,2,207
684,5,5,2,208
685,8,8,2,209
686,10,10,2,210
687,14,14,2,211
688,16,16,2,212
689,17,17,2,213
690,19,19,2,214
691,21,21,2,215
692,22,22,2,216
693,24,24,2,217
694,26,26,2,218
695,28,28,2,219
696,30,30,2,220
697,32,32,2,221
698,38,38,2,222
699,36,40,2,452
700,35,40,2,224
701,35,38,2,225
702,36,36,2,226
703,33,33,2,227
704,31,31,2,228
705,28,28,2,229
706,26,26,2,230
707,22,22,2,231
708,19,19,2,201
709,16,16,2,202
710,14,14,2,203
711,10,10,2,204
712,7,7,2,205
713,21,21,2,335
714,23,23,2,334
715,26,26,2,333
716,30,30,2,332
717,33,33,2,265
718,36,36,2,264
719,38,38,2,263
720,41,41,2,262
721,53,53,2,270
722,48,48,2,271
723,46,46,2,272
724,43,43,2,273
725,40,40,2,274
726,38,38,2,275
727,34,34,2,276
728,32,32,2,277
729,28,28,2,278
730,26,26,2,279
731,22,22,2,280
732,28,28,2,282
733,23,23,2,284
734,29,29,2,285
735,30,30,2,286
736,33,33,2,287
737,36,36,2,288
738,40,40,2,289
739,43,43,2,290
740,46,46,2,291
741,48,48,2,292
742,51,51,2,293
743,54,54,2,294
744,57,57,2,295
745,62,62,2,296
746,69,69,2,297
747,65,65,2,298
748,62,62,2,299
749,57,57,2,300
750,53,53,2,301
751,51,51,2,302
752,48,48,2,331
753,45,45,2,303
754,41,41,2,304
755,36,36,2,305
756,33,33,2,306
757,31,38,2,307
758,28,35,2,308
759,26,33,2,309
760,24,24,2,366
761,22,22,2,310
762,17,17,2,311
763,22,22,2,312
764,24,24,2,313
765,21,21,2,314
766,19,19,2,315
767,21,21,2,316
768,25,25,2,352
769,28,28,2,318
770,31,31,2,319
771,33,33,2,320
772,35,35,2,339
773,38,38,2,321
774,42,42,2,322
775,46,46,2,323
776,49,49,2,324
777,52,52,2,325
778,56,56,2,326
779,60,60,2,327
780,62,62,2,328
781,65,65,2,329
782,70,70,2,330
783,68,68,2,367
784,58,58,2,369
785,54,54,2,370
786,51,51,2,371
787,49,49,2,372
788,46,46,2,373
789,40,40,2,374
790,38,38,2,375
791,35,35,2,376
792,32,32,2,377
793,29,29,2,378
794,26,26,2,379
795,30,30,2,380
796,26,31,2,381
797,18,18,2,384
798,20,20,2,385
799,20,20,2,386
800,17,17,2,387
801,20,20,2,388
802,22,22,2,389
803,25,25,2,390
804,28,28,2,391
805,31,31,2,392
806,33,33,2,393
807,38,38,2,394
808,41,41,2,395
809,44,44,2,396
810,46,46,2,397
811,49,49,2,398
812,52,52,2,399
813,54,54,2,400
814,57,57,2,401
815,60,60,2,402
816,63,63,2,403
817,65,65,2,404
818,68,68,2,405
819,70,70,2,406
820,72,72,2,407
821,49,49,2,413
822,44,44,2,414
823,41,41,2,415
824,38,38,2,416
825,35,35,2,417
826,31,31,2,418
827,28,28,2,419
828,25,25,2,420
829,22,22,2,421
830,19,19,2,422
831,24,24,2,423
832,21,21,2,424
833,17,17,2,425
834,23,23,2,426
835,25,25,2,427
836,28,29,2,428
837,37,38,2,451
838,38,39,2,430
839,41,42,2,431
840,43,45,2,432
841,46,48,2,433
842,48,50,2,434
843,51,53,2,435
844,54,56,2,436
845,57,59,2,437
846,60,62,2,438
847,64,66,2,439
848,67,69,2,440
849,71,73,2,441
850,76,78,2,442
851,78,80,2,443
852,81,83,2,444
853,84,86,2,445
854,87,89,2,446
855,90,92,2,447
856,3,3,3,4
857,4,4,3,5
858,6,6,3,6
859,8,8,3,7
860,10,10,3,8
861,11,11,3,9
862,13,13,3,10
863,15,15,3,11
864,17,17,3,12
865,19,19,3,13
866,21,21,3,14
867,23,23,3,15
868,26,26,3,16
869,31,31,3,17
870,34,34,3,18
871,36,36,3,19
872,39,39,3,20
873,42,42,3,21
874,46,46,3,22
875,49,49,3,266
876,52,52,3,267
877,55,55,3,268
878,57,57,3,269
879,38,44,3,244
880,36,42,3,260
881,34,40,3,23
882,31,37,3,24
883,28,34,3,25
884,25,31,3,26
885,23,29,3,27
886,20,20,3,28
887,22,22,3,29
888,21,21,3,30
889,19,19,3,31
890,17,17,3,32
891,20,20,3,33
892,22,22,3,34
893,25,26,3,35
894,28,28,3,36
895,30,31,3,37
896,34,35,3,38
897,38,38,3,39
898,40,40,3,40
899,43,43,3,41
900,45,46,3,42
901,48,48,3,43
902,52,52,3,44
903,56,62,3,45
904,53,59,3,46
905,50,56,3,47
906,52,54,3,48
907,50,50,3,49
908,42,42,3,50
909,39,39,3,51
910,35,35,3,52
911,33,33,3,53
912,29,29,3,54
913,24,24,3,55
914,22,22,3,56
915,20,20,3,57
916,21,22,3,58
917,18,18,3,59
918,18,28,3,60
919,16,16,3,61
920,18,32,3,62
921,17,17,3,63
922,20,38,3,64
923,23,41,3,65
924,25,44,3,66
925,18,18,3,79
926,19,19,3,78
927,21,21,3,77
928,24,24,3,74
929,26,26,3,73
930,29,29,3,72
931,31,31,3,71
932,34,34,3,70
933,36,36,3,69
934,38,38,3,68
935,38,38,3,67
936,29,29,3,449
937,30,30,3,450
938,11,11,3,80
939,14,14,3,81
940,16,16,3,82
941,18,18,3,83
942,20,20,3,84
943,22,22,3,85
944,24,24,3,86
945,24,24,3,87
946,21,21,3,88
947,19,19,3,89
948,17,17,3,90
949,14,14,3,91
950,28,34,3,92
951,26,31,3,93
952,23,29,3,94
953,21,26,3,95
954,17,23,3,96
955,15,21,3,97
956,13,13,3,98
957,15,16,3,99
958,14,14,3,100
959,13,13,3,101
960,15,15,3,102
961,17,17,3,103
962,20,20,3,104
963,22,22,3,105
964,25,25,3,106
965,28,28,3,107
966,30,30,3,108
967,32,32,3,109
968,34,34,3,110
969,37,37,3,111
970,39,39,3,112
971,42,42,3,113
972,45,45,3,114
973,47,47,3,115
974,41,41,3,116
975,40,40,3,117
976,37,37,3,118
977,35,35,3,119
978,32,32,3,120
979,29,29,3,121
980,26,26,3,122
981,23,23,3,123
982,21,21,3,124
983,19,19,3,125
984,16,16,3,126
985,14,14,3,127
986,16,16,3,128
987,19,19,3,129
988,21,21,3,130
989,23,23,3,131
990,27,27,3,132
991,30,30,3,133
992,33,34,3,134
993,34,36,3,135
994,37,40,3,136
995,40,43,3,137
996,42,45,3,138
997,33,33,3,139
998,29,29,3,140
999,26,26,3,141
1000,23,23,3,142
1001,20,20,3,143
1002,21,21,3,144
1003,19,19,3,145
1004,19,19,3,146
1005,31,31,3,147
1006,31,31,3,148
1007,34,34,3,241
1008,37,37,3,242
1009,39,39,3,243
1010,41,41,3,253
1011,44,44,3,254
1012,47,47,3,255
1013,50,50,3,256
1014,52,52,3,257
1015,53,53,3,258
1016,55,55,3,259
1017,59,59,3,408
1018,63,63,3,409
1019,36,49,3,149
1020,33,46,3,150
1021,30,43,3,151
1022,27,27,3,152
1023,24,37,3,153
1024,22,34,3,154
1025,20,32,3,155
1026,18,18,3,156
1027,20,20,3,157
1028,18,18,3,158
1029,19,23,3,159
1030,21,21,3,160
1031,23,23,3,161
1032,23,23,3,162
1033,26,29,3,163
1034,30,33,3,164
1035,32,35,3,165
1036,34,37,3,166
1037,36,39,3,167
1038,38,41,3,168
1039,41,44,3,169
1040,43,46,3,170
1041,46,49,3,171
1042,48,51,3,172
1043,51,53,3,173
1044,38,42,3,412
1045,34,39,3,411
1046,31,36,3,410
1047,29,34,3,250
1048,27,32,3,251
1049,25,30,3,252
1050,23,28,3,234
1051,20,25,3,233
1052,18,23,3,232
1053,15,15,3,174
1054,17,17,3,175
1055,15,15,3,176
1056,13,13,3,177
1057,15,15,3,178
1058,18,18,3,179
1059,20,20,3,180
1060,22,22,3,181
1061,25,25,3,182
1062,28,28,3,183
1063,31,31,3,184
1064,34,34,3,185
1065,37,37,3,186
1066,39,39,3,187
1067,42,42,3,188
1068,45,45,3,189
1069,48,48,3,190
1070,15,15,3,261
1071,18,18,3,249
1072,21,21,3,248
1073,23,23,3,247
1074,27,27,3,246
1075,30,30,3,245
1076,27,27,3,341
1077,31,31,3,342
1078,33,33,3,343
1079,36,36,3,344
1080,39,39,3,345
1081,42,42,3,346
1082,39,39,3,347
1083,37,37,3,348
1084,39,39,3,349
1085,36,36,3,350
1086,40,44,3,351
1087,38,41,3,191
1088,39,39,3,364
1089,35,35,3,365
1090,31,31,3,353
1091,28,28,3,354
1092,25,25,3,355
1093,23,23,3,356
1094,19,19,3,357
1095,14,14,3,358
1096,11,11,3,359
1097,9,9,3,360
1098,6,6,3,361
1099,10,10,3,362
1100,12,12,3,363
1101,49,49,3,194
1102,52,52,3,195
1103,55,55,3,196
1104,60,60,3,197
1105,61,62,3,198
1106,63,64,3,199
1107,65,66,3,200
1108,8,8,3,206
1109,6,6,3,207
1110,9,9,3,208
1111,12,12,3,209
1112,14,14,3,210
1113,18,18,3,211
1114,20,20,3,212
1115,20,20,3,213
1116,22,22,3,214
1117,25,25,3,215
1118,26,26,3,216
1119,28,28,3,217
1120,30,30,3,218
1121,32,32,3,219
1122,30,30,3,220
1123,30,30,3,221
1124,35,35,3,222
1125,33,37,3,452
1126,31,31,3,224
1127,31,31,3,225
1128,33,39,3,226
1129,35,37,3,227
1130,33,35,3,228
1131,32,32,3,229
1132,29,29,3,230
1133,26,26,3,231
1134,23,23,3,201
1135,20,20,3,202
1136,18,18,3,203
1137,14,14,3,204
1138,11,11,3,205
1139,21,21,3,335
1140,23,23,3,334
1141,26,26,3,333
1142,30,30,3,332
1143,33,33,3,265
1144,36,36,3,264
1145,38,38,3,263
1146,41,41,3,262
1147,57,57,3,270
1148,52,52,3,271
1149,50,50,3,272
1150,47,47,3,273
1151,44,44,3,274
1152,42,42,3,275
1153,38,38,3,276
1154,36,36,3,277
1155,32,32,3,278
1156,30,30,3,279
1157,26,26,3,280
1158,26,26,3,282
1159,19,19,3,284
1160,25,25,3,285
1161,26,26,3,286
1162,29,29,3,287
1163,32,32,3,288
1164,36,36,3,289
1165,39,39,3,290
1166,42,42,3,291
1167,44,44,3,292
1168,47,47,3,293
1169,50,50,3,294
1170,53,53,3,295
1171,58,58,3,296
1172,66,73,3,297
1173,62,69,3,298
1174,59,66,3,299
1175,55,61,3,300
1176,51,57,3,301
1177,48,55,3,302
1178,45,52,3,331
1179,42,49,3,303
1180,38,45,3,304
1181,33,40,3,305
1182,31,37,3,306
1183,28,34,3,307
1184,25,31,3,308
1185,22,29,3,309
1186,20,20,3,366
1187,18,18,3,310
1188,13,13,3,311
1189,18,18,3,312
1190,21,22,3,313
1191,24,25,3,314
1192,22,22,3,315
1193,25,30,3,316
1194,28,34,3,352
1195,32,37,3,318
1196,34,40,3,319
1197,37,42,3,320
1198,39,44,3,339
1199,41,47,3,321
1200,44,51,3,322
1201,48,55,3,323
1202,51,58,3,324
1203,54,61,3,325
1204,58,65,3,326
1205,62,69,3,327
1206,64,71,3,328
1207,67,74,3,329
1208,72,79,3,330
1209,72,72,3,367
1210,62,62,3,369
1211,58,58,3,370
1212,55,55,3,371
1213,53,53,3,372
1214,50,50,3,373
1215,44,44,3,374
1216,42,42,3,375
1217,39,39,3,376
1218,36,36,3,377
1219,33,33,3,378
1220,30,30,3,379
1221,28,32,3,380
1222,22,27,3,381
1223,14,14,3,384
1224,16,16,3,385
1225,19,19,3,386
1226,21,21,3,387
1227,24,24,3,388
1228,26,26,3,389
1229,29,29,3,390
1230,32,32,3,391
1231,35,35,3,392
1232,37,37,3,393
1233,42,42,3,394
1234,45,45,3,395
1235,48,48,3,396
1236,50,50,3,397
1237,53,53,3,398
1238,56,56,3,399
1239,58,58,3,400
1240,61,61,3,401
1241,64,64,3,402
1242,67,67,3,403
1243,69,69,3,404
1244,72,72,3,405
1245,74,74,3,406
1246,76,76,3,407
1247,52,56,3,413
1248,47,51,3,414
1249,44,48,3,415
1250,41,45,3,416
1251,38,42,3,417
1252,34,38,3,418
1253,31,35,3,419
1254,28,32,3,420
1255,25,29,3,421
1256,22,22,3,422
1257,21,21,3,423
1258,17,17,3,424
1259,13,13,3,425
1260,19,19,3,426
1261,21,21,3,427
1262,24,25,3,428
1263,33,34,3,451
1264,34,35,3,430
1265,37,38,3,431
1266,39,41,3,432
1267,42,44,3,433
1268,44,46,3,434
1269,47,49,3,435
1270,50,52,3,436
1271,53,55,3,437
1272,56,58,3,438
1273,60,62,3,439
1274,63,65,3,440
1275,67,69,3,441
1276,72,74,3,442
1277,74,76,3,443
1278,77,79,3,444
1279,80,82,3,445
1280,83,85,3,446
1281,86,88,3,447
1282,1,1,4,5
1283,3,3,4,6
1284,5,5,4,7
1285,6,6,4,8
1286,8,8,4,9
1287,10,10,4,10
1288,12,12,4,11
1289,13,13,4,12
1290,15,15,4,13
1291,18,18,4,14
1292,19,19,4,15
1293,23,23,4,16
1294,28,28,4,17
1295,31,31,4,18
1296,33,33,4,19
1297,36,36,4,20
1298,39,39,4,21
1299,43,43,4,22
1300,46,46,4,266
1301,49,49,4,267
1302,52,52,4,268
1303,54,54,4,269
1304,35,35,4,244
1305,33,33,4,260
1306,31,31,4,23
1307,28,28,4,24
1308,25,25,4,25
1309,22,22,4,26
1310,20,20,4,27
1311,17,17,4,28
1312,19,19,4,29
1313,18,18,4,30
1314,16,16,4,31
1315,14,14,4,32
1316,17,17,4,33
1317,19,19,4,34
1318,22,23,4,35
1319,25,25,4,36
1320,27,28,4,37
1321,31,31,4,38
1322,34,35,4,39
1323,37,37,4,40
1324,40,40,4,41
1325,42,42,4,42
1326,44,45,4,43
1327,48,49,4,44
1328,53,59,4,45
1329,50,56,4,46
1330,47,53,4,47
1331,49,51,4,48
1332,47,47,4,49
1333,39,39,4,50
1334,36,36,4,51
1335,32,32,4,52
1336,30,30,4,53
1337,26,26,4,54
1338,21,21,4,55
1339,19,19,4,56
1340,17,17,4,57
1341,18,19,4,58
1342,15,15,4,59
1343,15,15,4,60
1344,13,13,4,61
1345,14,14,4,62
1346,17,17,4,63
1347,20,20,4,64
1348,23,23,4,65
1349,26,26,4,66
1350,15,15,4,79
1351,16,16,4,78
1352,18,18,4,77
1353,21,21,4,74
1354,23,23,4,73
1355,25,25,4,72
1356,28,28,4,71
1357,31,31,4,70
1358,33,33,4,69
1359,35,35,4,68
