id,name,line_id
355,БКЛ Печатники,11
356,БКЛ Текстильщики,11
357,БКЛ Нижегородская,11
358,БКЛ Авиамоторная,11
359,БКЛ Лефортово,11
360,БКЛ Электрозаводская,11
361,БКЛ Сокольники,11
362,БКЛ Рижская,11
363,БКЛ Марьина Роща,11
246,БКЛ Шелепиха,11
245,БКЛ Деловой центр,11
194,Битцевский парк,12
195,Лесопарковая,12
196,Улица Старокачаловская,12
197,Улица Скобелевская,12
198,Бульвар Адмирала Ушакова,12
199,Улица Горчакова,12
200,Бунинская аллея,12
204,МЦК Ростокино,14
205,МЦК Белокаменная,14
206,МЦК Бульвар Рокоссовского,14
207,МЦК Локомотив,14
208,МЦК Измайлово,14
209,МЦК Соколиная Гора,14
210,МЦК Шоссе Энтузиастов,14
211,МЦК Андроновка,14
212,МЦК Нижегородская,14
213,МЦК Новохохловская,14
214,МЦК Угрешская,14
215,МЦК Дубровка,14
216,МЦК Автозаводская,14
217,МЦК ЗИЛ,14
218,МЦК Верхние Котлы,14
219,МЦК Крымская,14
220,МЦК Площадь Гагарина,14
221,МЦК Лужники,14
222,МЦК Кутузовская,14
452,МЦК Москва-Сити,14
224,МЦК Шелепиха,14
225,МЦК Хорошёво,14
226,МЦК Зорге,14
227,МЦК Панфиловская,14
228,МЦК Стрешнево,14
229,МЦК Балтийская,14
230,МЦК Коптево,14
231,МЦК Лихоборы,14
201,МЦК Окружная,14
202,МЦК Владыкино,14
203,МЦК Ботанический сад,14
335,Нижегородская,15
334,Стахановская,15
333,Окская,15
332,Юго-Восточная,15
265,Косино,15
264,Улица Дмитриевского,15
263,Лухмановская,15
262,Некрасовка,15
270,Лобня МЦД-1(П),16
271,Шереметьевская МЦД-1(П),16
272,Хлебниково МЦД-1(П),16
273,Водники МЦД-1(П),16
274,Долгопрудная МЦД-1(П),16
275,Новодачная МЦД-1(П),16
276,Марк МЦД-1,16
277,Лианозово МЦД-1,16
278,Бескудниково МЦД-1,16
279,Дегунино МЦД-1,16
280,Окружная МЦД-1,16
282,Тимирязевская МЦД-1,16
284,Савёловский вокзал МЦД-1,16
285,Белорусский вокзал МЦД-1,16
286,Беговая МЦД-1,16
287,Тестовская МЦД-1,16
288,Фили МЦД-1,16
289,Славянский бульвар МЦД-1,16
290,Кунцевская МЦД-1,16
291,Рабочий Посёлок МЦД-1,16
292,Сетунь МЦД-1,16
293,Немчиновка МЦД-1(П),16
294,Сколково МЦД-1(П),16
295,Баковка МЦД-1(П),16
296,Одинцово МЦД-1(П),16
297,Нахабино МЦД-2(П),17
298,Аникеевка МЦД-2(П),17
299,Опалиха МЦД-2(П),17
300,Красногорская МЦД-2(П),17
301,Павшино МЦД-2(П),17
302,Пенягино МЦД-2(П),17
331,Волоколамская МЦД-2,17
303,Трикотажная МЦД-2,17
304,Тушинская МЦД-2,17
305,Щукинская МЦД-2,17
306,Стрешнево МЦД-2,17
307,Красный Балтиец МЦД-2,17
308,Гражданская МЦД-2,17
309,Дмитровская МЦД-2,17
366,Марьина Роща МЦД-2,17
310,Рижская МЦД-2,17
311,Площадь трёх вокзалов МЦД-2,17
312,Курская МЦД-2,17
313,Москва-Товарная МЦД-2,17
314,Калитники МЦД-2,17
315,Новохохловская МЦД-2,17
316,Текстильщики МЦД-2,17
352,Печатники МЦД-2,17
318,Кубанская МЦД-2,17
319,Депо МЦД-2,17
320,Перерва МЦД-2,17
339,Курьяново,17
321,Москворечье МЦД-2,17
322,Царицыно МЦД-2,17
323,Покровское МЦД-2,17
324,Красный Строитель МЦД-2,17
325,Битца МЦД-2,17
326,Бутово МЦД-2,17
327,Щербинка МЦД-2,17
328,Остафьево МЦД-2,17
329,Силикатная МЦД-2(П),17
330,Подольск МЦД-2(П),17
367,Крюково МЦД-3 (П),18
369,Фирсановская МЦД-3(П),18
370,Сходня МЦД-3(П),18
371,Подрезково МЦД-3(П),18
372,Новоподрезково МЦД-3(П),18
373,Молжаниново МЦД-3(П),18
374,Химки МЦД-3(П),18
375,Левобережная МЦД-3(П),18
376,Ховрино МЦД-3,18
377,Грачёвская МЦД-3,18
378,Моссельмаш МЦД-3,18
379,Лихоборы МЦД-3,18
380,Петровско-Разумовская МЦД-3,18
381,Останкино МЦД-3,18
384,Электрозаводская МЦД-3,18
385,Сортировочная МЦД-3,18
386,Авиамоторная МЦД-3,18
387,Андроновка МЦД-3,18
388,Перово МЦД-3,18
389,Плющево МЦД-3,18
390,Вешняки МЦД-3,18
391,Выхино МЦД-3,18
392,Косино МЦД-3,18
393,Ухтомская МЦД-3,18
394,Люберцы МЦД-3(П),18
395,Панки МЦД-3(П),18
396,Томилино МЦД3(П),18
397,Красково МЦД-3(П),18
398,Малаховка МЦД-3(П),18
399,Удельная МЦД-3(П),18
400,Быково МЦД-3(П),18
401,Ильинская МЦД-3(П),18
402,Отдых МЦД-3(П),18
403,Кратово МЦД-3(П),18
404,Есенинская МЦД-3(П),18
405,Фабричная МЦД-3(П),18
406,Раменское МЦД-3(П),18
407,Ипподром МЦД-3(П),18
413,Железнодорожная МЦД-4(П),19
414,Ольгино МЦД-4(П),19
415,Кучино МЦД-4(П),19
416,Салтыковская МЦД-4(П),19
417,Никольское МЦД-4(П),19
418,Реутов МЦД-4,19
419,Новогиреево МЦД-4,19
420,Кусково МЦД-4,19
421,Чухлинка МЦД-4,19
422,Нижегородская МЦД-4,19
423,Серп и Молот МЦД-4,19
424,Курская МЦД-4,19
425,Площадь трёх вокзалов МЦД-4,19
426,Марьина Роща МЦД-4,19
427,Савеловская МЦД-4,19
428,Белорусская МЦД-4,19
451,Тестовская (Москва-Сити) МЦД-4,19
430,Кутузовская МЦД-4,19
431,Поклонная МЦД-4,19
432,Минская МЦД-4,19
433,Матвеевская МЦД-4,19
434,Аминьевская МЦД-4,19
435,Очаково МЦД-4,19
436,Мещерская МЦД-4,19
437,Солнечная МЦД-4,19
438,Переделкино МЦД-4,19
439,Мичуринец МЦД-4,19
440,Внуково МЦД-4,19
441,Лесной Городок МЦД-4(П),19
442,Толстопальцево МЦД-4(П),19
443,Кокошкино МЦД-4(П),19
444,Санино МЦД-4(П),19
445,Крёкшино МЦД-4(П),19
446,Победа МЦД-4(П),19
447,Апрелевка МЦД-4(П),19
